,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
1147,43770457,https://www.njuskalo.hr/nekretnine/stanovi-zadar-dvosoban-stan-vrtom-novogradnja-oglas-43770457,13.0,Zadarska,Zadar,Stanovi,1,70.69,70.69,2.0,Terasa,1.0,Prizemlje,2,,,2,,247500.0,2024-06-12
1148,43770536,https://www.njuskalo.hr/nekretnine/stanovi-zadar-dvosoban-stan-prvom-katu-novogradnja-s6-oglas-43770536,13.0,Zadarska,Zadar,Stanovi,1,66.33,66.33,2.0,Terasa,1.0,1.,2,,,2,,232000.0,2024-06-12
1149,43770564,https://www.njuskalo.hr/nekretnine/stanovi-zadar-jednosoban-stan-prvom-katu-novogradnja-s7-oglas-43770564,13.0,Zadarska,Zadar,Stanovi,1,44.59,44.59,1.0,Lođa (Loggia),1.0,1.,2,,,2,,155900.0,2024-06-12
1150,41394252,https://www.njuskalo.hr/nekretnine/zadar-smiljevac-dvosoban-stan-prizemlju-vrtom-novogradnja-oglas-41394252,13.0,Zadarska,Zadar,Smiljevac,1,80.66,,2.0,Lođa (Loggia),1.0,Visoko prizemlje,2,,,2,,239000.0,2024-06-12
1151,41394271,https://www.njuskalo.hr/nekretnine/zadar-smiljevac-dvosoban-stan-prvom-katu-novogradnja-oglas-41394271,13.0,Zadarska,Zadar,Smiljevac,1,67.34,,2.0,Terasa,1.0,1.,2,,,2,,208800.0,2024-06-12
1152,40913849,https://www.njuskalo.hr/nekretnine/dvosoban-stan-garazom-zadar-82.00-m2-novogradnja-oglas-40913849,13.0,Zadarska,Zadar,Bokanjac,1,82.24,,2.0,Lođa (Loggia),1.0,2.,2,,,2,,213800.0,2024-06-12
1153,41394248,https://www.njuskalo.hr/nekretnine/zadar-smiljevac-dvosoban-stan-prizemlju-vrtom-novogradnja-oglas-41394248,13.0,Zadarska,Zadar,Smiljevac,1,78.66,,1.0,Lođa (Loggia),1.0,Visoko prizemlje,2,,,2,A,232000.0,2024-06-12
1154,41396681,https://www.njuskalo.hr/nekretnine/zadar-smiljevac-dvosoban-stan-drugom-katu-krovom-terasom-oglas-41396681,13.0,Zadarska,Zadar,Smiljevac,1,67.9,,2.0,Terasa,1.0,2.,2,,,2,,214900.0,2024-06-12
1155,42458172,https://www.njuskalo.hr/nekretnine/top-lokacija-brodarica-zadar-stan-dvije-sobe-dnevni-boravak-oglas-42458172,13.0,Zadarska,Zadar,Brodarica,1,74.39,,2.0,"Balkon, Terasa",1.0,1.,2,,,2,A,315000.0,2024-06-12
1156,43271344,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-drugi-kat-s7-novogradnja-garaza-oglas-43271344,13.0,Zadarska,Zadar,Bokanjac,1,52.35,,1.0,Balkon,1.0,2.,2,,,2,,146600.0,2024-06-12
