,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
125,42429890,https://www.njuskalo.hr/nekretnine/stan-prvom-katu-novogradnja-brodarica-oglas-42429890,15,Šibensko-kninska,Šibenik - Okolica,Brodarica,1,68.13,,3.0,Terasa,1.0,1.,2,2023.0,,1,,240000.0,2024-06-20
126,42927176,https://www.njuskalo.hr/nekretnine/luksuzni-stanovi-dvosoban-stan-prizemlju-sukosan-novogradnja-oglas-42927176,13,Zadarska,Sukošan,Sukošan,1,96.6,,3.0,Balkon,1.0,Prizemlje,2,2024.0,,1,A+,270480.0,2024-06-20
127,42927180,https://www.njuskalo.hr/nekretnine/luksuzan-penthouse-sukosan-novogradnja-s5-zgrada-a-oglas-42927180,13,Zadarska,Sukošan,Sukošan,1,111.4,,3.0,"Balkon, Lođa (Loggia), Terasa",2.0,2.,2,2024.0,,1,A+,356512.0,2024-06-20
128,42945639,https://www.njuskalo.hr/nekretnine/novogradnja-vodice-moderan-stan-2-katu-s7-zgrada-b-oglas-42945639,15,Šibensko-kninska,Vodice,Vodice,1,65.47,,2.0,Terasa,1.0,2.,2,2024.0,,1,A+,170000.0,2024-06-20
129,43297050,https://www.njuskalo.hr/nekretnine/novogradnja-jednosoban-stan-prizemlju-s2-vodice-oglas-43297050,15,Šibensko-kninska,Vodice,Vodice,1,53.78,,2.0,"Balkon, Terasa",1.0,Prizemlje,2,2024.0,,1,A+,199000.0,2024-06-20
130,42637535,https://www.njuskalo.hr/nekretnine/prodaja-stanovi-novogradnji-67.37m2-povljana-oglas-42637535,13,Zadarska,Povljana,Povljana,1,67.37,67.37,3.0,Terasa,1.0,2.,2,2024.0,,1,,229058.0,2024-06-20
131,42637536,https://www.njuskalo.hr/nekretnine/prodaja-stanovi-novogradnji-70m2-povljana-oglas-42637536,13,Zadarska,Povljana,Povljana,1,70.05,70.05,3.0,Terasa,1.0,2.,2,2024.0,,1,,238153.0,2024-06-20
132,33925001,https://www.njuskalo.hr/nekretnine/pantovcak-kozarceva-5-soban-garaza-parking-stan-suterenu-oglas-33925001,21,Grad Zagreb,Gornji Grad - Medveščak,Pantovčak,1,301.0,301.0,5.0,,1.0,2.,,2000.0,2001.0,2,C,790000.0,2024-06-20
133,38174392,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-cetverosoban-stan-luksuzna-novogradnja-oglas-38174392,21,Grad Zagreb,Maksimir,Gornji Bukovac,1,158.18,158.18,4.0,,1.0,1.,,2022.0,,,,664366.5,2024-06-20
134,38174393,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-trosoban-stan-luksuzna-novogradnja-oglas-38174393,21,Grad Zagreb,Maksimir,Gornji Bukovac,1,82.31,82.31,3.0,,1.0,Prizemlje,Prizemlje,2022.0,,,,329260.0,2024-06-20
